cell_id,sample,subject,condition,batch,cell_type
D07_cont_cell012,D07_cont,D07,control,B1,Monocyte
D07_cont_cell013,D07_cont,D07,control,B1,CD4 T
D07_cont_cell014,D07_cont,D07,control,B1,CD8 T
D07_cont_cell015,D07_cont,D07,control,B1,Monocyte
D07_cont_cell016,D07_cont,D07,control,B1,CD4 T
D07_cont_cell017,D07_cont,D07,control,B1,CD8 T
D07_cont_cell018,D07_cont,D07,control,B1,Monocyte
D07_cont_cell019,D07_cont,D07,control,B1,CD4 T
D07_cont_cell020,D07_cont,D07,control,B1,CD8 T
D07_cont_cell021,D07_cont,D07,control,B1,Monocyte
D07_cont_cell022,D07_cont,D07,control,B1,CD4 T
D07_cont_cell023,D07_cont,D07,control,B1,CD8 T
D07_cont_cell024,D07_cont,D07,control,B1,Monocyte
D07_cont_cell025,D07_cont,D07,control,B1,CD4 T
D07_cont_cell026,D07_cont,D07,control,B1,CD8 T
D07_cont_cell027,D07_cont,D07,control,B1,Monocyte
D07_cont_cell028,D07_cont,D07,control,B1,CD4 T
D07_cont_cell029,D07_cont,D07,control,B1,CD8 T
D07_cont_cell030,D07_cont,D07,control,B1,Monocyte
D07_cont_cell031,D07_cont,D07,control,B1,CD4 T
D07_cont_cell032,D07_cont,D07,control,B1,CD8 T
D07_cont_cell033,D07_cont,D07,control,B1,Monocyte
D07_cont_cell034,D07_cont,D07,control,B1,CD4 T
D07_cont_cell035,D07_cont,D07,control,B1,CD8 T
D07_cont_cell036,D07_cont,D07,control,B1,Monocyte
D07_stim_cell001,D07_stim,D07,stimulated,B1,CD4 T
D07_stim_cell002,D07_stim,D07,stimulated,B1,CD8 T
D07_stim_cell003,D07_stim,D07,stimulated,B1,Monocyte
D07_stim_cell004,D07_stim,D07,stimulated,B1,CD4 T
D07_stim_cell005,D07_stim,D07,stimulated,B1,CD8 T
D07_stim_cell006,D07_stim,D07,stimulated,B1,Monocyte
D07_stim_cell007,D07_stim,D07,stimulated,B1,CD4 T
D07_stim_cell008,D07_stim,D07,stimulated,B1,CD8 T
D07_stim_cell009,D07_stim,D07,stimulated,B1,Monocyte
D07_stim_cell010,D07_stim,D07,stimulated,B1,CD4 T
D07_stim_cell011,D07_stim,D07,stimulated,B1,CD8 T
D07_stim_cell012,D07_stim,D07,stimulated,B1,Monocyte
D07_stim_cell013,D07_stim,D07,stimulated,B1,CD4 T
D07_stim_cell014,D07_stim,D07,stimulated,B1,CD8 T
D07_stim_cell015,D07_stim,D07,stimulated,B1,Monocyte
D07_stim_cell016,D07_stim,D07,stimulated,B1,CD4 T
D07_stim_cell017,D07_stim,D07,stimulated,B1,CD8 T
D07_stim_cell018,D07_stim,D07,stimulated,B1,Monocyte
D07_stim_cell019,D07_stim,D07,stimulated,B1,CD4 T
D07_stim_cell020,D07_stim,D07,stimulated,B1,CD8 T
D07_stim_cell021,D07_stim,D07,stimulated,B1,Monocyte
D07_stim_cell022,D07_stim,D07,stimulated,B1,CD4 T
D07_stim_cell023,D07_stim,D07,stimulated,B1,CD8 T
D07_stim_cell024,D07_stim,D07,stimulated,B1,Monocyte
D07_stim_cell025,D07_stim,D07,stimulated,B1,CD4 T
D07_stim_cell026,D07_stim,D07,stimulated,B1,CD8 T
D07_stim_cell027,D07_stim,D07,stimulated,B1,Monocyte
D07_stim_cell028,D07_stim,D07,stimulated,B1,CD4 T
D07_stim_cell029,D07_stim,D07,stimulated,B1,CD8 T
D07_stim_cell030,D07_stim,D07,stimulated,B1,Monocyte
D07_stim_cell031,D07_stim,D07,stimulated,B1,CD4 T
D07_stim_cell032,D07_stim,D07,stimulated,B1,CD8 T
D07_stim_cell033,D07_stim,D07,stimulated,B1,Monocyte
D07_stim_cell034,D07_stim,D07,stimulated,B1,CD4 T
D07_stim_cell035,D07_stim,D07,stimulated,B1,CD8 T
D07_stim_cell036,D07_stim,D07,stimulated,B1,Monocyte
D08_cont_cell001,D08_cont,D08,control,B2,CD4 T
D08_cont_cell002,D08_cont,D08,control,B2,CD8 T
D08_cont_cell003,D08_cont,D08,control,B2,Monocyte
D08_cont_cell004,D08_cont,D08,control,B2,CD4 T
D08_cont_cell005,D08_cont,D08,control,B2,CD8 T
D08_cont_cell006,D08_cont,D08,control,B2,Monocyte
D08_cont_cell007,D08_cont,D08,control,B2,CD4 T
D08_cont_cell008,D08_cont,D08,control,B2,CD8 T
D08_cont_cell009,D08_cont,D08,control,B2,Monocyte
D08_cont_cell010,D08_cont,D08,control,B2,CD4 T
D08_cont_cell011,D08_cont,D08,control,B2,CD8 T
D08_cont_cell012,D08_cont,D08,control,B2,Monocyte
D08_cont_cell013,D08_cont,D08,control,B2,CD4 T
D08_cont_cell014,D08_cont,D08,control,B2,CD8 T
D08_cont_cell015,D08_cont,D08,control,B2,Monocyte
D08_cont_cell016,D08_cont,D08,control,B2,CD4 T
D08_cont_cell017,D08_cont,D08,control,B2,CD8 T
D08_cont_cell018,D08_cont,D08,control,B2,Monocyte
D08_cont_cell019,D08_cont,D08,control,B2,CD4 T
D08_cont_cell020,D08_cont,D08,control,B2,CD8 T
D08_cont_cell021,D08_cont,D08,control,B2,Monocyte
D08_cont_cell022,D08_cont,D08,control,B2,CD4 T
D08_cont_cell023,D08_cont,D08,control,B2,CD8 T
D08_cont_cell024,D08_cont,D08,control,B2,Monocyte
D08_cont_cell025,D08_cont,D08,control,B2,CD4 T
D08_cont_cell026,D08_cont,D08,control,B2,CD8 T
D08_cont_cell027,D08_cont,D08,control,B2,Monocyte
D08_cont_cell028,D08_cont,D08,control,B2,CD4 T
D08_cont_cell029,D08_cont,D08,control,B2,CD8 T
D08_cont_cell030,D08_cont,D08,control,B2,Monocyte
D08_cont_cell031,D08_cont,D08,control,B2,CD4 T
D08_cont_cell032,D08_cont,D08,control,B2,CD8 T
D08_cont_cell033,D08_cont,D08,control,B2,Monocyte
D08_cont_cell034,D08_cont,D08,control,B2,CD4 T
D08_cont_cell035,D08_cont,D08,control,B2,CD8 T
D08_cont_cell036,D08_cont,D08,control,B2,Monocyte
D08_stim_cell001,D08_stim,D08,stimulated,B2,CD4 T
D08_stim_cell002,D08_stim,D08,stimulated,B2,CD8 T
D08_stim_cell003,D08_stim,D08,stimulated,B2,Monocyte
D08_stim_cell004,D08_stim,D08,stimulated,B2,CD4 T
D08_stim_cell005,D08_stim,D08,stimulated,B2,CD8 T
D08_stim_cell006,D08_stim,D08,stimulated,B2,Monocyte
D08_stim_cell007,D08_stim,D08,stimulated,B2,CD4 T
D08_stim_cell008,D08_stim,D08,stimulated,B2,CD8 T
D08_stim_cell009,D08_stim,D08,stimulated,B2,Monocyte
D08_stim_cell010,D08_stim,D08,stimulated,B2,CD4 T
D08_stim_cell011,D08_stim,D08,stimulated,B2,CD8 T
D08_stim_cell012,D08_stim,D08,stimulated,B2,Monocyte
D08_stim_cell013,D08_stim,D08,stimulated,B2,CD4 T
D08_stim_cell014,D08_stim,D08,stimulated,B2,CD8 T
D08_stim_cell015,D08_stim,D08,stimulated,B2,Monocyte
D08_stim_cell016,D08_stim,D08,stimulated,B2,CD4 T
D08_stim_cell017,D08_stim,D08,stimulated,B2,CD8 T
D08_stim_cell018,D08_stim,D08,stimulated,B2,Monocyte
D08_stim_cell019,D08_stim,D08,stimulated,B2,CD4 T
D08_stim_cell020,D08_stim,D08,stimulated,B2,CD8 T
D08_stim_cell021,D08_stim,D08,stimulated,B2,Monocyte
D08_stim_cell022,D08_stim,D08,stimulated,B2,CD4 T
D08_stim_cell023,D08_stim,D08,stimulated,B2,CD8 T
D08_stim_cell024,D08_stim,D08,stimulated,B2,Monocyte
D08_stim_cell025,D08_stim,D08,stimulated,B2,CD4 T
D08_stim_cell026,D08_stim,D08,stimulated,B2,CD8 T
D08_stim_cell027,D08_stim,D08,stimulated,B2,Monocyte
D08_stim_cell028,D08_stim,D08,stimulated,B2,CD4 T
D08_stim_cell029,D08_stim,D08,stimulated,B2,CD8 T
D08_stim_cell030,D08_stim,D08,stimulated,B2,Monocyte
D08_stim_cell031,D08_stim,D08,stimulated,B2,CD4 T
D08_stim_cell032,D08_stim,D08,stimulated,B2,CD8 T
D08_stim_cell033,D08_stim,D08,stimulated,B2,Monocyte
D08_stim_cell034,D08_stim,D08,stimulated,B2,CD4 T
D08_stim_cell035,D08_stim,D08,stimulated,B2,CD8 T
D08_stim_cell036,D08_stim,D08,stimulated,B2,Monocyte
